Date,Ticker,Open,High,Low,Close,Volume
2023/10/16,MAERSK-A.CO,12620,12690,12210,12210,6436
2023/10/17,MAERSK-A.CO,12210,12230,12010,12030,5308
2023/10/18,MAERSK-A.CO,12030,12030,11740,11740,5199
2023/10/19,MAERSK-A.CO,11500,11630,11370,11460,5616
2023/10/20,MAERSK-A.CO,11300,11480,11250,11280,6122
2023/10/23,MAERSK-A.CO,11280,11470,11230,11470,7487
2023/10/24,MAERSK-A.CO,11480,11680,11420,11590,6936
2023/10/25,MAERSK-A.CO,11700,11830,11270,11330,6096
2023/10/26,MAERSK-A.CO,11200,11600,11190,11600,4478
2023/10/27,MAERSK-A.CO,11660,12040,11510,11610,9572
2023/10/30,MAERSK-A.CO,11560,11590,11290,11340,5685
2023/10/31,MAERSK-A.CO,11340,11520,11320,11500,4665
2023/11/01,MAERSK-A.CO,11600,11690,11480,11630,4969
2023/11/02,MAERSK-A.CO,11730,11980,11730,11980,5689
2023/11/03,MAERSK-A.CO,11150,11170,9845,10000,31772
2023/11/06,MAERSK-A.CO,10130,10340,9935,9955,13684
2023/11/07,MAERSK-A.CO,9920,10060,9710,9755,9496
2023/11/08,MAERSK-A.CO,9950,10070,9820,9910,7799
2023/11/09,MAERSK-A.CO,9950,10240,9950,10110,8940
2023/11/10,MAERSK-A.CO,10110,10110,9855,9905,6419
2023/11/13,MAERSK-A.CO,9885,9965,9835,9875,5648
2023/11/14,MAERSK-A.CO,9890,10240,9855,10240,6419
2023/11/15,MAERSK-A.CO,10240,10520,10230,10390,6978
2023/11/16,MAERSK-A.CO,10390,10420,10180,10190,4604
2023/11/17,MAERSK-A.CO,10230,10310,10150,10210,5001
2023/11/20,MAERSK-A.CO,10210,10390,10150,10350,6248
2023/11/21,MAERSK-A.CO,10400,10400,9995,10000,5970
2023/11/22,MAERSK-A.CO,10000,10120,9910,10120,7056
2023/11/23,MAERSK-A.CO,10180,10320,10150,10290,4495
2023/11/24,MAERSK-A.CO,10290,10450,10290,10450,6045
2023/11/27,MAERSK-A.CO,10410,10670,10410,10640,5899
2023/11/28,MAERSK-A.CO,10630,10640,10420,10550,4268
2023/11/29,MAERSK-A.CO,10500,10720,10500,10710,6725
2023/11/30,MAERSK-A.CO,10700,10780,10530,10610,19641
2023/12/01,MAERSK-A.CO,10700,10820,10600,10780,5798
2023/12/04,MAERSK-A.CO,10780,10940,10750,10810,5452
2023/12/05,MAERSK-A.CO,10730,10740,10480,10590,6042
2023/12/06,MAERSK-A.CO,10590,10720,10250,10480,6673
2023/12/07,MAERSK-A.CO,10460,10460,10220,10320,7087
2023/12/08,MAERSK-A.CO,10340,10450,10290,10430,5585
2023/12/11,MAERSK-A.CO,10400,10480,10300,10390,5859
2023/12/12,MAERSK-A.CO,10350,10570,10240,10240,6277
2023/12/13,MAERSK-A.CO,10240,10610,10240,10430,7673
2023/12/14,MAERSK-A.CO,10580,11170,10550,10910,14847
2023/12/15,MAERSK-A.CO,10950,11790,10950,11730,24143
2023/12/18,MAERSK-A.CO,11740,12230,11730,11970,11193
2023/12/19,MAERSK-A.CO,12000,12050,11540,11590,8944
2023/12/20,MAERSK-A.CO,11620,11960,11620,11920,6457
2023/12/21,MAERSK-A.CO,11910,12300,11850,12210,7259
2023/12/22,MAERSK-A.CO,12310,12700,12310,12530,10417
2023/12/27,MAERSK-A.CO,12220,12220,11880,11960,7340
2023/12/28,MAERSK-A.CO,11920,12080,11810,11830,6025
2023/12/29,MAERSK-A.CO,11830,12070,11820,11980,4852
2024/01/02,MAERSK-A.CO,12120,12810,12120,12720,8532
2024/01/03,MAERSK-A.CO,12740,13440,12740,13300,11717
2024/01/04,MAERSK-A.CO,13300,14140,13300,13840,16437
2024/01/05,MAERSK-A.CO,13900,14130,13550,13660,12146
2024/01/08,MAERSK-A.CO,13730,13770,12600,12940,19130
